Latitude;Longitude
9.637335;-82.7048999722
18.5204303;73.8567437
0.1308034718;117.4937697353
15.7358733333;-87.45501
-8.8546918816;-140.1433007089
7.6156425071;-80.9622254855
16.8268752858;96.1910503991
25.5676655785;-80.4563424258
23.7159328333;90.4189376667
-5.2148880833;105.0365676667
15.36883168;-61.25549198
-6.648155;108.1969666667
-16.1001029177;145.4459072912
-6.6588466521;106.7465231102
1.4086333333;103.8693616667
18.1132734334;-65.8961732034
-6.554001;106.723487
-7.74719167;110.499855
7.0840195;125.50792
22.278962;114.154823
17.4126393313;78.4651190483
10.6461359713;-61.4208530661
10.64613;-61.42092833
9.3598463249;-83.9784327228
-8.1188757;112.5712978
18.056275;-66.0894555
8.9893071748;-79.5261315209
-15.6909283333;47.4844283333
10.7253157311;122.5371037424
3.4959216667;-76.52623
-4.3249149167;55.7239761111
13.3835741243;103.8599563041
-4.3567051252;55.8345226238
8.5369729994;-83.3076705931
8.5326376617;-83.3209518716
8.5355834958;-83.3023681639
-6.5535550278;106.7835159167
-6.5265767288;106.8203181401
8.5099792478;-83.2931365967
8.5102281569;-83.2924423217
8.5591424674;-83.3344982273
9.8578639934;-84.5764833503
18.3112611111;-93.1956944444
8.5359619592;-83.301493981
8.5900449;-83.3949995
8.5407428997;-83.3068504
8.6899733997;-83.6698372
8.5309930997;-83.3056217
8.533489;-83.310341
8.5334576997;-83.3084664997
8.5335271;-83.3090863
8.6444444444;-83.4452777778
8.642996417;-83.4353375394
8.6148325924;-83.4811417311
8.540809;-83.3066471
8.5377321242;-83.3069915769
8.5340606653;-83.3005212972
-5.7491833333;39.2920833333
14.5367082052;121.2740810215
-6.8364791985;107.9487264901
13.4315210888;144.8009204365
8.8705777778;76.6020472222
8.8706083333;76.6019611111
-13.8483833333;-171.75943
-13.8483833333;-171.75943
-3.7658378;102.2780017
-6.2557568582;106.9250882417
2.4975251327;101.842084229
-7.5823455556;109.2015694444
5.0694569146;-74.3803049996
0.277222;116.783056
7.4333327669;-80.0833331421
-7.368925;108.2457194444
7.0874417;125.51454147
9.9808365301;-85.6261045859
16.0928176508;-88.8083079457
5.446776;-74.670106
22.277775;114.1565471667
-6.9272433333;107.569115
3.3467083333;-76.5493083333
7.4471515188;-80.0682312995
1.5696466667;103.6333616667
1.5699583333;103.6328583333
12.1271133843;-86.2363869776
3.1030329722;101.624547
2.9248770266;101.6849473491
3.1592232;101.6307854
3.2139755889;101.5564059508
15.7835776948;-86.7816764324
15.7835776948;-86.7816764324
22.1625195;113.551345
13.8266915828;-61.0580272135
7.7628950556;125.00827025
18.3349357353;-65.636239485
0.2218699788;6.608319437
1.3200698626;103.9054267028
25.6296826268;-80.3513757786
4.1763313487;73.5127382994
9.4021783333;-84.1583638333
-0.3485075;-79.2477551
2.8710817499;101.8173761387
-12.3273874697;49.3490623494
10.8536872443;76.3529626613
18.40492966;-66.0366863748
18.3997083333;-66.0331638333
17.7282740485;-64.8647544533
-7.6487540632;108.7897974998
-6.3379654646;106.8089884892
-6.8012605622;108.4706330672
18.3274887601;-67.1666528822
9.3976459503;-84.1539993286
-0.1852733333;-76.6451266667
-0.1851421;-76.6459939
-7.382853365;108.1473138928
25.53501815;-80.49352968
8.6658127746;-83.6784559419
10.3045969722;76.4244649722
12.8815716667;77.465355
8.6816249415;-83.7116308697
8.8706138889;76.602
17.1764280997;-89.0951668997
8.8705861111;76.6020194444
1.4088739907;103.9722593533
6.3470639502;-75.5587083581
5.40743;100.2798738889
-16.8912551713;178.9693735912
9.7417228072;-85.0144062821
10.7914905547;-84.9881057739
10.11573;-84.2934266667
21.01097;105.840674
18.0794106946;-66.035140045
12.3296362017;76.6364185318
-0.5082299444;100.3371200556
8.4492943457;-82.4204457924
12.9505623;77.5828966
18.2390134869;-66.0604205513
10.5456831953;76.1521561816
1.3874891106;103.7478017807
15.2492133333;145.7846216667
-16.7185197531;-150.9866012935
21.4830720445;-98.9683456394
10.294198028;-85.8401299671
18.8293668792;99.1831224348
-18.1494903333;178.4242858889
18.2390716667;-66.0603555
18.6211222222;-74.3071444444
-5.1854757456;122.9053036496
